Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
25,1,,,29250,David Wagner,,Computer Science,299,41,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,1,,,29265,Katherine Yelick,,Computer Science,299,44,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,1,,,29295,Scott Shenker,,Computer Science,299,50,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,1,,,29300,Vern Paxson,,Computer Science,299,51,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,1,,,29305,Koushik Sen,,Computer Science,299,52,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,1,,,29315,Krste Asanovic,,Computer Science,299,54,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,2,,,29330,Xiaodong Song,,Computer Science,299,57,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,3,,,29350,Ravi Ramamoorthi,,Computer Science,299,61,Credit,Non-Letter Grade,Satisfactory,Indiv Research
25,3,,,29355,Eric Paulos,,Computer Science,299,62,Credit,Non-Letter Grade,Satisfactory,Indiv Research
22,37,,,29393,Victor Huang,,Computer Science,375,1,Credit,Non-Letter Grade,Pass,Teaching Techniques
25,6,,,29393,Victor Huang,,Computer Science,375,1,Credit,Non-Letter Grade,Satisfactory,Teaching Techniques
1,3,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,4,Computer Science,61AS,1,A,Letter Grade,A+,Str Interp Comp Prg
2,1,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,4,Computer Science,61AS,1,A,Letter Grade,A,Str Interp Comp Prg
3,3,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,3.7,Computer Science,61AS,1,A,Letter Grade,A-,Str Interp Comp Prg
4,5,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,3.3,Computer Science,61AS,1,B,Letter Grade,B+,Str Interp Comp Prg
5,1,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,3,Computer Science,61AS,1,B,Letter Grade,B,Str Interp Comp Prg
6,2,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,2.7,Computer Science,61AS,1,B,Letter Grade,B-,Str Interp Comp Prg
7,1,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,2.3,Computer Science,61AS,1,C,Letter Grade,C+,Str Interp Comp Prg
8,2,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,2,Computer Science,61AS,1,C,Letter Grade,C,Str Interp Comp Prg
10,1,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,1.3,Computer Science,61AS,1,D,Letter Grade,D+,Str Interp Comp Prg
13,3,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,0,Computer Science,61AS,1,F,Letter Grade,F,Str Interp Comp Prg
22,3,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,,Computer Science,61AS,1,Credit,Non-Letter Grade,Pass,Str Interp Comp Prg
27,1,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,,Computer Science,61AS,1,No Credit,Non-Letter Grade,Not Pass,Str Interp Comp Prg
30,1,,,29435,Rohin Shah; Shidi Huang; Vivek Rangaswamy,,Computer Science,61AS,1,Administrative Code,Administrative Code,Incomplete,Str Interp Comp Prg
